employer,n. 雇主，老板
employee,n. 雇员；从业员工
vocational training,"un. 专业培训
 职业训练；职业培训；职业教育"
cultural exchanges, 对外交流；演出交流；中西文化交流
cultural blending,找不到解释
cultural integration, 文化整合；文化融合；文化融和
traditional Chinese culture,找不到解释
Confucianism,n. 孔子学说；儒家思想
Buddhism,n. 佛教
Daoism,n. 道教
Taoism,n. 道家的学说；道教
Peking Opera,找不到解释
Chinese calligraphy,找不到解释
western cultures,西方文化
Enlightenment,找不到解释
humanism,"n. 人道主义
adj. 人文主义的；人道主义的"
post-modernism,n. 后现代主义；后现代派
multi-cultures, 多文化
pluralistic cultures,找不到解释
mosaic cultures,模纹种植
cultural diversity, 文化多样性；文化多元化；文化差异
preserve and cherish,找不到解释
absorb its essence and resist its dark side,找不到解释
promote cultural development positively,找不到解释
splendid and glorious cultural heritage,找不到解释
splendid and glorious cultural legacy,找不到解释
splendid and glorious cultural relics,找不到解释
keep pace with times,找不到解释
cross-cultural communication,找不到解释
cultural differences, 文化差异；文化差异性；文化即便有再大的差异
cultural traditions, 文化传统；不同文化传统；传统文化
human civilization, 人类文明；人类文明史；文明历史上
spiritual civilization,"n. 精神文明
 精神文明建设；精神文明一；城市精神文明"
mainstream culture, 主流文化；文化的主流
interpretation of classics,找不到解释
popular culture, 大众文化；通俗文化；流行文化
the pervasive advertisements on TV,找不到解释
idol worship, 偶像崇拜；偶像崇拜话题；拜偶像
web addiction,找不到解释
Internet addiction, 网络成瘾；网瘾；网路成瘾
virtual life,"虚拟人生
虚拟生活"
making friends online,找不到解释
chatting on the Internet,找不到解释
online gossip,找不到解释
online shopping, 网上购物；网购；线上购物
group buying, 团购；团购模式；团购揪团
group purchase, 团购；优惠团购；团购活动
the Internet supervision,找不到解释
the Internet violence,找不到解释
irresponsible remarks,找不到解释
buy lottery tickets,找不到解释
electronic games, 电子游戏；电子游乐器；礼物休闲
digital products, 数码产品；数字产品；数码云计算平台
text message,"n. 文本信息；短信息
 简讯；发短信；文字讯息"
junk message,找不到解释
mobile phone subscription,找不到解释
self-dependence,n. 依靠自己，自力更生
dote,"vt. 溺爱
vi. 溺爱；昏聩"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
only child,"n. 独生子（或女）
 独生子女；独子；独生女"
fierce competition, 激烈竞争；激烈的竞争；竞争激烈
boomerang kids, 归巢族；归巢小孩；归巢族或回力棒世代
NEET,找不到解释
Not currently engaged in Education,找不到解释
Employment or Training,找不到解释
reap without sowing,找不到解释
make constant efforts,找不到解释
never give up, 永不放弃；永不言弃；从不放弃
never stop making progress,找不到解释
achieve success,"un. 取得成功
 获得成功；取得功效；奏功"
innovation,n. 创新，革新；新方法
diligence,n. 勤奋，勤勉；注意的程度
striving spirit, 奋斗精神
outlook of life,找不到解释
world outlook,"na. 世界观
 宇宙观；人生观，价值观；对世界的总的和根本的看法"
perseverance,"n. 坚持不懈；不屈不挠
n. 耐性；毅力"
patience,n. 耐性，耐心；忍耐，容忍
prudence,n. 审慎
self-confidence,n. 自信
modesty,n. 谦逊；质朴；稳重
lack of confidence,"缺乏自信
缺乏信心"
exaggerate difficulties,找不到解释
overestimate difficulties,找不到解释
underestimate one's abilities,找不到解释
teamwork,n. 团队合作；协力
team spirit,"n. 合作精神；集体精神；团队精神
 团队合作精神；具有团队精神；协作精神"
cooperate with others,找不到解释
joint efforts, 共同努力；共同的努力；协力
cooperative efforts,找不到解释
help each other, 互相帮助；互助；彼此帮助
keep optimistic,找不到解释
pessimism,n. 悲观，悲观情绪；厌世主义
be pessimistic,找不到解释
positive attitude, 积极的态度；积极态度；积极进取
benevolence,n. 仁慈；善行
physical health,"un. 身体健康
 生理健康；身体的健康；躯体健康"
mental health,"un. 心理卫生；精神卫生
 心理健康；精神健康；身心健康"
mental fitness,找不到解释
psychological health, 心理健康；心理卫生；大学心理健康
psychological fitness,"《英汉医学词典》psychological fitness
心理健全"
health concern,找不到解释
sub-health,找不到解释
public health,"na. 公共卫生
 公共健康；公共卫生学；公众健康"
state of mind, 心态；心境；思想状态
physical exercises,"n. 体操
 体育锻炼；运动；体育活动"
well-balanced diet,找不到解释
junk food,"n. 垃圾食品
 垃圾食物；没有营养的食品；没有营养的垃圾食品"
go on a diet, 节食；实行节食；减肥
provide medical services,找不到解释
sacrifice health,找不到解释
short-term economic benefits,找不到解释
total tobacco ban,找不到解释
illness,n. 病；疾病
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
chronic disease,"n. 慢性病
 慢性疾病；痼疾；顽疾"
infectious disease,"n. 传染病科
 感染性疾病；传染性疾病；传染病学"
alcoholism,n. 酗酒； 酒精中毒
cancer, 巨蟹座
reform of medical system,找不到解释
generation gap,"n. 代沟；两代人之间的隔阂
 代沟的成因；叛逆；表示代沟时可以用"
bridge the gap, 缩小差距；桥梁缺口；弥合差距
mutual understanding,"un. 相互了解
 相互理解；互相理解；心照不宣"
misunderstanding,n. 误解；误会；不和
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
take care of,"na. 照看；处理；清除
 照顾；照料；爱护"
look after,"na. 照看；照顾；看管；对…负责
 照料；照管；目送"
mistreat,vt. 虐待
maltreat,vt. 虐待；滥用；粗暴对待
ill-treat,vt. 虐待
aging society,"un. 高龄化社会
 老龄化社会；老龄社会；老化社会"
population aging,"《英汉医学词典》population aging
人口老化"
old people, 老人；老年人；旧人
aged people, 高龄者生活认知适应性设计；乐龄人士
the old, 老人
the aged,"na. 老人
 老年人；指老年人；老者"
the elders, 长者会；长老；元老集团
the elderly, 老年人；老人；长者
senior citizens,"na. 年长
 老人；资深公民；老年人"
practice filial piety,找不到解释
public morality,"na. 风纪
 公共道德；公德；社会公德"
traditional virtues, 传统美德；传统美德篇概述；传统道德
duty,n. 责任； 关税；职务
responsibility,n. 责任，职责；义务
sense of responsibility, 责任感；责任心；责任意识
shoulder one's duties,找不到解释
shoulder one's responsibilities,找不到解释
assume one's duties,找不到解释
assume one's responsibilities,找不到解释
undertake one's duties,找不到解释
undertake one's responsibilities,找不到解释
avoid one's duties,找不到解释
avoid one's responsibilities,找不到解释
shirk one's duties,找不到解释
shirk one's responsibilities,找不到解释
shun one's duties,找不到解释
shun one's responsibilities,找不到解释
devote,vt. 致力于；奉献
dedicate,vt. 致力；献身；题献
devotion,n. 献身，奉献；忠诚；热爱
dedication,n. 奉献；献身；赠言
selfless devotion,找不到解释
the crisis of trust,找不到解释
the corruption of public morality,找不到解释
the lack of moral sense,找不到解释
immoral behaviors,找不到解释
Project Hope,找不到解释
China Red Cross Foundation,找不到解释
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
donation,n. 捐款，捐赠物；捐赠
poor rural areas,找不到解释
start schooling,找不到解释
drop out of school,"un. 从…退出；辍学
 退学；休学；缀学"
finish school,"na. 完成学业
 毕业；放学；毕业学校"
to respect the old and care for the young,找不到解释
spit everywhere,找不到解释
make noise, 制造噪音；发出噪音；发出声音
talk loudly, 大声说话；大声谈话；大声讲话
empty promise, 口惠；空洞的承诺；假意的允诺
false promise,找不到解释
fake commodities, 上有不少假冒伪劣商品；假冒商品；假冒伪劣产品
dishonest behaviors, 欺诈行为
honesty,n. 诚实，正直
academic corruption,找不到解释
plagiarism,n. 剽窃；剽窃物
food safety,"n. 食品安全；食品卫生
 食物安全；食品安全性；食品质量安全"
construction quality, 施工质量；工程质量；建设质量
drainage oil,找不到解释
poisonous milk powder,找不到解释
infant formula, 婴儿配方奶粉；婴儿奶粉；婴儿配方食品
food additives,"un. 食品添加剂
 食品添加物；食物添加剂；食物添加物"
unaffordable prices of medicines,找不到解释
excessive growth,"un. 过度长大；过渡增长
 发展过快；涨幅偏高；过度增长"
illegal ads,找不到解释
unfair competitions,找不到解释
compete for benefits,找不到解释
address symptoms but not root causes,找不到解释
administration departments,找不到解释
supervision departments,找不到解释
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
manufacturer,n. 制造商； 厂商
enterprise operator,找不到解释
authorities concerned,"主管部门,专门机构，专门机关"
take bribes, 贪赃；纳贿；受贿
disregard of laws,找不到解释
shift the blame onto ...,找不到解释
consumers' rights and interests,找不到解释
unqualified experts,找不到解释
perform one's tasks fairly and effectively,找不到解释
provide polite and hospitable services,找不到解释
corruption phenomenon,找不到解释
bus lane,"n. 公共汽车专用道
 公共汽车道；公交专用车道；公交专用道"
odd-and-even license plate rule,找不到解释
morning and evening peak,找不到解释
traffic jam,"n. 堵车；交通阻塞
 交通堵塞；交通拥挤；塞车"
traffic congestion,"na. 交通拥塞
 交通拥挤；交通堵塞；交通挤塞"
heavy traffic,"na. 交通拥挤
 拥挤的交通；车水马龙；交通拥挤"
rush hour,"n. (上,下班的)高峰期
 尖峰时刻；高峰时间；尖峰时间"
public transport network, 公共交通线路网
traffic restrictions based on the last digit of license plate numbers,找不到解释
traffic control,"na. 交通管制
 交通管理；交通控制；流量控制"
car-free day,找不到解释
traffic accidents, 交通事故；交通意外；道路交通事故
private cars, 私家车；私人汽车；私人小汽车
develop public transport,找不到解释
drunk drive,找不到解释
drive under the influence of alcohol,找不到解释
driver,n. 驾驶员；驱动程序；起子；传动器
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
economic crisis,"na. 经济危机
 金融危机；全球经济危机；经济危急"
financial crisis,"na. 财政危机
 金融危机；财务危机；经济危机"
financial turmoil, 金融风暴；金融危机；金融动荡
financial meltdown, 金融风暴；金融危机；金融崩盘
recession,n. 衰退；不景气；后退；凹处
bleeding economy,找不到解释
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
sluggish economy,找不到解释
lose one's job, 失业；失掉职位；打破饭碗
be unemployed,失业
be redundant,找不到解释
job losses mount,找不到解释
unemployment climb,找不到解释
unemployment,n. 失业；失业率；失业人数
seek employment, 求职；应聘职位
job seeker,"n. 求职者（英国常见的官方用语）
 求职专栏；我要求职；找工作者"
a tough job market,找不到解释
confidence slump,找不到解释
economic recovery,"n. 经济复苏
 经济复原；经济采收率；经济恢复"
the crisis' fallout,找不到解释
face the crisis,找不到解释
meet the crisis,找不到解释
fight crisis,找不到解释
confidence reconstruction,找不到解释
contain declines,找不到解释
slow down declines,找不到解释
affordable housing project,找不到解释
comfortable housing project,找不到解释
cost-cutting,"n. 削减成本
v. 削减成本（cost-cut的ing形式）"
generate new employment,找不到解释
stimulate consumer spending,找不到解释
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
recovery,n. 恢复，复原；痊愈；重获
turnaround,n. 转变；转向；突然好转；回车道
proactive fiscal policy, 积极的财政政策；采取积极财政政策
refrain from laying off employees,找不到解释
cut the salaried work force,找不到解释
structural adjustment,结构调整
stimulus package, 经济刺激方案；经济刺激一揽子计划；刺激计划
stimulus plan,找不到解释
career guidance, 就业指导；生涯辅导；就业辅导
propel domestic demand,找不到解释
drive domestic demand,找不到解释
expand domestic demand,找不到解释
infrastructure construction, 基础设施；基础设施建设；基础建设
tax relief,"n. 税款减免
 税收减免；税收减除；税务优惠"
practice economy,"na. 节约
 厉行节约；例行节约；节约”"
moderately loose monetary policy,找不到解释
government bailout, 政府救援；政府打救；政府救助
government's vow to do sth.,找不到解释
the market economy system,找不到解释
economic globalization, 经济全球化；全球经济一体化；经贸全球化
international economic organization,找不到解释
advancements in science and technology,找不到解释
multinationals,n. 跨国公司（multinational的复数）
private enterprise,"n. 私营企业；民营企业
 私人企业；私有企业；民企"
automobile industry,"un. 汽车工业
 汽车产业；汽车业；汽车行业"
real estate industry, 房地产业；地产行业；房地产产业
telecommunication industry, 电信业；电信产业；通信产业
domestic brand,本国商标
national brand,"un. 全国性品牌
 国家品牌；全国品牌；国家名牌"
Chinese brand,找不到解释
market share,"n. 市场份额；市场占有率
 市占率；市场占用率；市场分额"
market portion,找不到解释
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
enterprise,n. 企业；事业；进取心；事业心
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
job satisfaction,"n. 工作满足感
 工作满意度；工作的满意感；工作满意感"
work pressure, 工作压力；工作气压；操作压力
working pressure,工作压力;使用压力
improve welfare and treatment,找不到解释
attract foreign investment, 对外招商；吸引外资；吸引外商投资
legal protection,"un. 合法保护
 法律保护；法律保障；保护少数民族的政策"
profound social and economic impact,找不到解释
the reform and opening-up,找不到解释
social security system,"un. 社会安全制度
 社会保障制度；社会保障体系；社会保险制度"
unemployment,n. 失业；失业率；失业人数
housing problem, 住房问题；房屋问题；住宅问题
public infrastructure, 公共基础设施；公共建设；公共基础建设
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
sustainable urban development,找不到解释
urbanization,n. 都市化；文雅化
