abase,vt. 使…谦卑；降低…的品格；降低…的地位
trillion,"num.  万亿
n.  万亿
adj. 万亿的"
trot,"n. （人）慢跑；马小跑的步态；小跑的马蹄声；刚学步的小孩；老太婆；腹泻；（学生作弊用的）译文对照本
vi. （马）小跑；（人）慢跑；快步走
vt. 使小跑；使快步走"
trustworthy,adj. 可靠的；可信赖的
turtle,n. 龟，甲鱼；海龟
ulcer,n.  溃疡；腐烂物；道德败坏
undercover,adj. 秘密的，秘密从事的；从事间谍活动的
underprivileged,adj. 贫困的；被剥夺基本权力的；社会地位低下的
undue,adj. 过度的，过分的；不适当的；未到期的
unearth,vt. 发掘；揭露，发现；从洞中赶出
unilateralism,n. 片面，单方；片面限制武器论；单方面裁军
upbringing,n. 教养；养育；抚育
uplifting,adj. 令人振奋的；使人开心的
uranium,n.  铀
vaccination,n. 接种疫苗；种痘
vaunt,"n. 自吹自擂
vt. 自夸；吹嘘
vi. 自夸；吹嘘"
vendor,n. 卖主；小贩；供应商； 自动售货机
vertebrate,"adj. 脊椎动物的；有脊椎的
n. 脊椎动物"
viable,adj. 可行的；能养活的；能生育的
vibration,n. 振动；犹豫；心灵感应
vigilance,n. 警戒，警觉；警醒症
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
wade,"n. 跋涉；可涉水而过的地方
vi. 跋涉
vt. 涉水；费力行走"
wait-and-see,adj. 观望的
warranty,n. 保证；担保；授权；（正当）理由
waver,"n. 动摇；踌躇；挥动者
vi. 摇曳；踌躇；摆动"
wharf,"n. 码头；停泊处
vt. 使靠码头；为…建码头；把货卸在码头上
vi. 靠码头"
whereby,adv. 凭借；通过…；借以；与…一致
whirlwind,"n. 旋风；旋风般的快速行动
adj. 旋风般的"
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
wield,vt. 使用；行使；挥舞
wither,"vi. 枯萎；凋谢；衰弱
vt. 使凋谢；使畏缩；使衰弱"
woodcut,n. 木刻；木刻印版；木版画
wrath,n. 愤怒；激怒
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
yellowish,adj. 微黄色的，淡黄色的
zest,"n. 风味；热心；强烈的兴趣
vt. 给…调味"
economic system,"un. 经济制度
 经济体系；经济体制；经济系统"
planned economy,"n. 计划经济
 计画经济；计划经济体制；商量经济"
market economy,"un. 市场经济
 市场经济制度；市场经济体系；巿场经济"
market-oriented economy,市场导向型经济，市场主导型经济
market cycle,"un. 销售循环；市场周期
 周期性；巿场周期"
market demand,"un. 市场需求；市场需要
 市场需求量；需求状态；市场总需求"
state-owned business,
industrialization,n. 工业化
home market,"un. 国内市场
 内需市场；家乡市场；本国市场"
red-hot economy,
prosperous,adj. 繁荣的；兴旺的
globalization,n. 全球化
global inflation, 全球性的通货膨胀；全球通货膨胀；全球性通胀
multinational corporation, 跨国公司；跨国企业；跨国集团
stock price,"n. 股价
 股票价格；正股价格；目前股票的股价"
venture investment, 风险投资；创业投资；各方评说风险投资
broker,"n. 经纪人，掮客
vt. 以中间人等身分安排...
vi. 作为权力经纪人进行谈判"
stakeholder,n. 利益相关者；赌金保管者
economic puppet,
credit card,"n. 信用卡
 贷记卡；申请信用卡；意思是信用卡"
monetary policy,"un. 金融政策
 货币政策；贷币政策；独立自主的货币政策"
competitive price,"un. 竞争性价格；竞争价格；标价；有竟争能力的价格
 有竞争力的价格；具竞争力的价格；公开招标价格"
retail price,"un. 零售价格
 批发价；零售价目；市价"
commodity price,"un. 商品价格
 物价；商品的价钱；普及价格"
steer the economy to a soft landing,
devalue,"vt. 使贬值；降低…的价值
vi. 贬值"
interest rate,"n. 利率
 利息率；贷款利率；贷记利息"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
intellectual property,"n. 知识产权
 智慧财产权；知识财产；智力资产"
infrastructure,n. 基础设施；公共建设；下部构造
treasury,n. 国库，金库；财政部；宝库
patent office,
productivity,n. 生产力；生产率；生产能力
production,n. 成果；产品；生产；作品
transaction,n. 交易；事务；办理；会报，学报
consumption,n. 消费；消耗；肺痨
subscribe to,"v. 同意；赞成；订阅；定期捐款
 订购；认购；赞同"
commodity,n. 商品，货物；日用品
inferior article,
qualitatively,adv. 定性地；从品质上讲
monopoly,n. 垄断；垄断者；专卖权
merger,n. （企业等的）合并；并购；吸收（如刑法中重罪吸收轻罪）
consolidation,n. 巩固；合并；团结
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
downscale,"vt. 缩减…规模
vi. 缩减规模"
centralization,n. 集中化；中央集权管理
professionalization,n. 专业化；职业化
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
shipper,n. 托运人；发货人；货主
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
dealership,n. 代理权；代理商；经销权
retailer,n. 零售商；传播的人
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
predominance,n. 优势；卓越
vitality,n. 活力，生气；生命力，生动性
unexploited,adj. 未开发的；未被利用的
energy-intensive,adj. 耗能的；能源密集型的
commercialize,vt. 使商业化；使商品化
underfund,vt. 对…提供资金不足
mountainous debt, 负债累累；巨大的债务
free enterprise,"n. 自由企业（体制）
 企业的自由经营；企业经营自由；自由市场"
limited liability company,"na. 股份有限公司
 有限责任公司；责任有限公司；有限责任公司只能以"
bureaucratic management,
top management,"un. 最高管理部门
 最高管理者；高层管理；高层管理人员"
administration,n. 管理；行政；实施；行政机构
administrator,n. 管理人；行政官
shareholder,n. 股东；股票持有人
executive director,"un. 常务董事；执行董事
 执行理事；执行主任；行政董事"
entrepreneur,n. 企业家；承包人；主办者
competitor,n. 竞争者，对手
consultancy,n. 咨询公司；顾问工作
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
manpower,n. 人力；人力资源；劳动力
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
part-timer,n. 兼职的人
temporary worker,"un. 临时工
 临时人员；临时劳工；短期临时人力"
self-employment,"个体经营
自营管理
 自谋职业
自我雇佣"
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
compensation,n. 补偿；报酬；赔偿金
database,n. 数据库，资料库
data bit,"un. 数据信号位
 数据位；资料位元；资料位元数"
search agent,
interactive,adj. 交互式的；相互作用的
key in,"un. 插上；键入
 键盘输入；电脑操作及输入；按键矩阵输入"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
keyword,n. 密码；关键字
repeated visit,
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
electronics,n. 电子学；电子工业
telecommunication,n. 电讯； 远程通信；无线电通讯
e-mail,
teleconference,电话会议； 远程会议
distant conference,
sharing of information,信息的共享
microprocessor,n.  微处理器
transistor circuit,"un. 晶体管电路
 电晶体电路；晶体管线路；电晶体线路"
semiconductor,n.  半导体
electrify,vt. 使电气化；使充电；使触电；使激动
research productivity,
evolution,n. 演变；进化论；进展
evolutionary theory, 进化论；演化论；进化理论
natural selection,"n. 自然选择；物竞天择
 自然淘汰；自然选择学说；天择说"
submicroscopic,adj. 亚微观的
biomedical,adj. 生物医学的
molecular biology,"na. 分子生物学
 生物分子学；分子生物学试剂；分子生物学系"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
cataract,"n.  白内障；大瀑布；暴雨，洪水；奔流
vt. 倾注"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
depressant,"n. 镇静剂， 抑制剂
adj. 有镇静作用的"
hallucinogen,n. 迷幻剂
sulfuric acid,"n. 硫酸
 硫磺酸；发烟硫酸；浓硫酸"
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
immunize,vt. 使免疫；赋予免疫性
gene,n.  基因，遗传因子
simple sugar,"un. 单糖
 简单的糖；糖含的单醣；容易消化吸收的单醣"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
hip,"n. 臀部；蔷薇果；忧郁
adj. 熟悉内情的；非常时尚的"
nervous system,"n. 神经系统
 神经系统用药；神经细统；表示神经系统"
central nervous system,"n. 中枢神经系统
 中央神经系统；神经用药；中枢神经用药"
surgeon,n. 外科医生
physician,n.  医师；内科医师
therapy,n. 治疗，疗法
clinical,adj. 临床的；诊所的
symptom,n.  症状；征兆
physical addiction,
psychological disorder, 心理障碍；心理混乱；心理错乱
psychological test,"un. 心理测验
 心理测试；心理测试星座运势；心理测评"
mortality,n. 死亡数，死亡率；必死性，必死的命运
variation,n. 变化； 变异，变种
natural phenomenon,"un. 自然现象
 自然界的某些现象；自然现象篇；天然现象"
drastic experiment,
external result,
carbon dioxide,"n. 二氧化碳
 一氧化碳；二氧货碳；碳酐"
photosynthesis,n. 光合作用
ozone layer,"n. 臭氧层
 臭气层；臭氧层破坏；因臭氧层"
atmosphere pressure,"un. 大气压
 大气压力；大气压强；摄氏度大气压"
air current,"na. 气流
 风流；空气流；循环风量"
water vapor,"na. 水汽
 水蒸气；水蒸汽；水气"
saturation,n. 饱和；色饱和度；浸透；磁化饱和
tidal wave,"n. 海啸；潮汐波；潮浪；（情感或事物发展的）高涨阶段
 潮波；浪潮；潮汐波--震荡波"
hot spot,"n. 危险地带；犯罪的高发地区；闹区；热点
 热区；热区响应；过热点"
ice cap,"n. （尤指北极和南极的）冰冠
 冰帽；冰盖；冰原"
ice sheet,"n. 冰原；冰盖
 冰层；大冰原；冰川"
Ice Age,"n. 冰期；冰川期；冰河时代
 冰河世纪；冰原历险记；冰川时代"
land mass,"n. 陆块；地块
 大陆块；陆地；大片陆地"
hemisphere,n. 半球
gravitation,n. 重力；万有引力；地心吸力
solar system,"n. 太阳系；类太阳系
 太阳能系统；太阳系统；太阳系统炮"
light year,"n. 光年（指光在一年中走过的距离：9.4607 × 10&sup12 公里）
 光年俊驹"
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
detector,n. 探测器；检测器；发现者；侦察器
space shuttle,"n. 航天飞机
 太空梭；太空穿梭机；太空飞船"
space exploration,"na. 星际探索
 太空探索；空间探索；空间探测"
vertical flight,  垂直飞行
decibel,n. 分贝
velocity,n. 速度
inertia,n.  惯性；惰性，迟钝；不活动
parliament,n. 议会，国会
House of Commons,"na. 众议院
 下议院；英国下议院；下院"
parliamentary debates, 议会辩论；议会辩论记录文件；议会辩论录
self-evident principle,
verdict,n. 结论；裁定
arbiter,n.  仲裁者；裁决人
validity,n.  有效性；正确；正确性
period terminate,
suspension,n. 悬浮；暂停；停职
in-house counsel,
citizenry,n. 市民；公民
basic right, 基本权利
privilege,"n. 特权；优待
vt. 给与…特权；特免"
higher up,"n. 领导；要人
 上级；更高处；大人物"
elitism,n. 精英主义；杰出人物统治论
bureaucratic,adj. 官僚的；官僚政治的
self-governing,adj. 自治的；自己管理自己的
espionage,n. 间谍；间谍活动；刺探
spymaster,n. 间谍组织的首脑
CIA,abbr. 中央情报局（Central Intelligence Agency）
Central Intelligence Agency,"un. 中央情报局
 美国中央情报局；中情局；美国中情局"
civilization,n. 文明；文化
democratic society, 民主社会
agricultural society,农业学会，农民团体（美国早期农民组织）
socio-economic,adj. 社会经济的
social status,"na. 社会地位
 身价；社会身份；社会位置"
social ladder, 社会阶梯；社会楼梯；社会的阶梯
social inequality, 社会不平等；社会不公；社会的不平等
underprivileged,adj. 贫困的；被剥夺基本权力的；社会地位低下的
bottom line,"n. 底线；底价；要旨；基本论点
 最低限度；绝对底线；账本底线"
societal changes,
mediocrity,n. 平庸之才；平常
generalist,n. （有多方面知识和经验的）通才；多面手
futurist,"n. 未来主义者；未来派画家
adj. 未来主义的"
athlete,n. 运动员，体育家；身强力壮的人
entertainer,n. 演艺人员，表演者
initiation ceremony, 进入仪式，开始仪式；入会仪式；成年仪式
spectator,n. 观众；旁观者
attendee,n. 出席者；在场者
human relation,人际关系;人群关系
parading procession,游行的队伍
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
uncivilized behavior, 野蛮的行为
subsequent behavior,
traffic stream,"un. 车流；业务量统计
 业务流；交通行列；数据流"
traffic jam,"n. 堵车；交通阻塞
 交通堵塞；交通拥挤；塞车"
traffic regulation,"na. 交通规则
 交通管制；交通条例；交通法规"
charitable organization,"n. 慈善团体
 慈善机构；慈善组织；公益团体"
euthanasia,n. 安乐死；安乐死术
drug addict,"na. 瘾君子
 吸毒者；吸毒成瘾者；药物成瘾"
substance dependence,"物质依赖；药物依赖, 物质依赖"
withdrawal symptom,n. 断瘾症状
psychoactive,adj. 影响心理状态的；作用于精神的
deterioration,n. 恶化；退化；堕落
a touch on the brakes,
adolescence,n. 青春期
house-proud,adj. 关心家事的，讲究家庭摆设的
extended family,"n. 家族
 大家庭；扩大家庭；扩展家庭"
parental permission,
mental conversation,
intense perceptual distortion,
anti-intellectualism,n. 反智主义
aggressive patriotism,
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
Utopia,n. 乌托邦（理想中最美好的社会）；理想国
transcendentalist,adj. 超越论者的，先验论者的
induction,n.  感应；归纳法；感应现象；入门培训，入职仪式，就职；诱导
deduction,n. 扣除，减除；推论；减除额
humanity,n. 人类；人道；仁慈；人文学科
self-respect,n. 自重，自尊
soul searching,"na. 反省
 寻找智美更登；深刻的自我反省；精神自省"
self-examination,n. 自省，反省
anthropological,adj. 人类学的；人类学上的
census,"n. 人口普查，人口调查
vt. 实施统计调查"
demographer,n.  人口统计学家，人口学家
lifespan,n. 寿命；预期生命期限；预期使用期限
aging population,老年人口
tourist trail,
interior design,"n. 室内设计
 室内设计专业；内部设计；室内装饰设计"
piped music,"n. （商店、餐馆等处不断播放的）背景音乐
 通过线路输送的音乐；管乐"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
impartial,adj. 公平的，公正的；不偏不倚的
unbiased,adj. 公正的；无偏见的
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
supporting,"n. 支持；支承面
v. 支持；供养（support的ing形式）
adj. 支持的；辅助性的；次要的"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
concerned,"v. 关心（concern的过去时和过去分词）；与…有关
adj. 有关的；关心的"
confident,adj. 自信的；确信的
optimistic,adj. 乐观的；乐观主义的
carefree,adj. 无忧无虑的；不负责的
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
detached,"v. 分离
adj. 分离的，分开的；超然的"
factual,adj. 事实的；真实的
impassive,adj. 冷漠的；无感觉的
uninterested,adj. 不感兴趣的；无利害关系的
apathetic,adj. 冷漠的；无动于衷的，缺乏兴趣的
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
compromising,"v. 妥协；让步（compromise的ing形式）
adj. 妥协的；让步的"
impersonal,"n. 非人称动词；不具人格的事物
adj. 客观的；非个人的；没有人情味的；非人称的"
subjective,adj. 主观的；个人的；自觉的
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
intolerable,adj. 无法忍受的；难耐的
biased,adj. 有偏见的；结果偏倚的，有偏的
disgusting,"adj. 令人厌恶的
令人极不能接受的"
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
worried,adj. 担心的
disappointed,adj. 失望的，沮丧的；受挫折的
pessimistic,adj. 悲观的，厌世的；悲观主义的
gloomy,adj. 黑暗的；沮丧的；阴郁的
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
ambivalent,adj. 矛盾的；好恶相克的
and,conj. 和，与；就；而且；但是；然后
also,"conj. 并且；另外
adv. 也；而且；同样"
moreover,adv. 而且；此外
likewise,adv. 同样地；也
more important, 重要的；更重要；更重要的
first,"num. 第一
n. 第一；开始；冠军
adj. 第一的；基本的；最早的
adv. 第一；首先；优先；宁愿"
finally,adv. 最后；终于；决定性地
in addition to,"na. 加之
 除…之外；除了；除…外"
then,"conj. 然后，当时
n. 那时
adv. 然后；那么；于是；当时；此外"
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
so,"conj. 所以；因此
adv. 如此，这么；确是如此
pron. 这样"
therefore,adv. 因此；所以
consequently,adv. 因此；结果；所以
accordingly,adv. 因此，于是；相应地；照著
but,"conj. 但是；而是；然而
adv. 仅仅，只
prep. 除…以外"
yet,"conj. 但是；然而
adv. 还；但是；已经"
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过"
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是"
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
though,"conj. 虽然；尽管
prep. 但
adv. 可是，虽然；不过；然而"
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
in spite of,"na. spite of 不管；无视
 尽管；不顾；虽然"
on the contrary,"na. 反之
 正相反；相反地；相反的"
in contrast,"adv. 相反
 相比之下；对比；成对比"
because,conj. 因为
because of,"na. 因
 因为；由于；由于，因为"
for the reason of,
result from,"v. 由于
 由...产生；起因于；由…引起"
as a result,"adv. 结果
 因此；结果是；作为结果"
to sum up, 总之；概括地说；总之，总而言之
in conclusion,"na. 最后
 总之；总而言之；结论"
in short,"na. 简单地说；总之
 简言之；简而言之；总而言之"
in brief,"na. 简单地说
 简言之；简而言之；总之"
on the whole,"na. 整体上说
 总的来说；大体上；基本上"
so that,"conj. 因此；以便
 为了；以致；以便于"
so as to,"na. (= in order to) 以便；为使
 为了；为的是；使得"
in order to,"na. 为了；从而；以便
 目的；为了……起见；以求"
for this purpose, 为此；为了这个目的；为此目的
such as,"un. 例如；像；象…这样；诸如…之类
 比如；像这种的；像……那样的"
for example,"na. 例如
 举例；比如；比如说"
for instance,"na. 例如
 比如；举例说；举例来说"
in particular,"na. 特别；一一
 尤其；特别地；特别是"
if,"conj. （表条件）如果；即使；是否；（表假设）假如
n. 条件；设想"
unless,"conj. 除非，如果不
prep. 除…之外"
in that case,"na. 既然是那样
 既然那样；如果是那样的话；如果那样的话"
in this circumstance,
a flash in the pan,"na. 昙花一现(的人或物)
 昙花一现的人；虎头蛇尾；只是昙花一现"
a local newspaper,
a matter of,"na. 大约；…左右；…的问题
 几的事；是个…问题，事关；关于……的问题"
a number of,"na. 若干；=numbers of 许多的
 一些；大量的；很多"
a rigid moral code,
a series of,"na. 一系列；许多
 一连串；一连串的；一系列的"
a significant issue,
a variety of,"det. 种种；形形色色
 各种各样的；多种多样的；多种的"
a majority of, 大部分；大多数；大多数的
the majority of,"adj. 大多数
 大部分；大多数的；的大多数"
abide by,"na. 坚持；服从
 遵守；信守；遵循"
above all,"na. 最主要的；最重要的是
 首先；尤其是；特别是"
academic community,高等教育界;学术界;高等学校的全体师生员工
access to, 接近；进入；通向…的入口
accord with,"na. 和…一致
 符合；和...一致；与…符合"
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
acquaint with,告诉，告知，通知；使知道，使认识，使了解；使熟悉；使相识，与…结识，介绍
act on,"na. “Act upon”的变体
 按照…而行动；对…起作用；按照…行动"
acute crisis,
add to,"na. 增加
 增添；增进；添加"
add up to,"na. 总计共达；总之就是
 合计达；合计为；意味着"
adhere to,"v. 坚持；依附
 遵守；附着；粘着"
agree on,"na. 对…意见一致
 同意；对……取得一致意见；商定"
agree with,"na. 适合；赞同；与…一致
 同意；与...一致；同意某人"
all but,"na. 几乎跟…一样
 差一点；除了…都；差不多"
all over,"adj. 满
n. 全花织物
 到处；遍及；结束"
allegiance to,
allow for,"v. 考虑到
 顾及；估计到；体谅"
an easy access,
an elite athlete,
an elite university,
and so on,"na. “And so forth”的变体
 等等；诸如此类；如此等等"
and so forth,"na. 等等；云云；“and so on/forth”的变体
 如此等等；诸如此类；诸如此类，如此等等"
and then,"na. 然后
 于是；然后呢；其次"
and yet,"na. 但
 然而；可是；但是"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
 除……之外；除...外；除去"
appeal to,"v. 求助于；引起N
 呼吁；吸引；上诉"
arise from,"v. 从…而得的
 由…引起；起因于；由…产生"
around the world,"un. 环球
 环游世界；世界各地；全世界"
around the clock,"na. 夜以继日地
 昼夜不停地；昼夜不断地；全天候"
round the clock,"na. 昼夜不停；整天整夜；昼夜不停地
 夜以继日的；日夜不停地；连续一整天"
arouse controversy,
as a matter of fact,"na. 事实上；事实是
 实际上；其实；实际情况"
as if,"na. 彷佛；活像
 好像；仿佛；似乎"
as though,"na. 好像；见 well 条
 仿佛；好象；似乎"
as to,"na. 至于；说到
 关于；如此……以便；关于至于"
as well,"na. 也；同样
 又；还；也倒不如"
as well as,"na. 和…一样；…不用说
 也；既…又；和...一样"
as far as,"na. 远到；就；尽；至于
 远至；直到；就…而言"
so far as,"na. 就…而论；尽…说；只就…说
 就…而言；就...而论；就...说"
as long as,"conj. 只要
 长达；如果；既然"
so long as,"na. 只要；“as/so long as”的变体
 如果；表示只要；只要…就"
assault on, 对……猛袭；突击；袭击
at a loss,"na. 无办法；(猎犬)失去猎物嗅迹；亏本地
 不知所措；困惑；茫然"
at all costs,"na. 无论如何
 不惜任何代价；不惜一切代价；不惜代价"
at any rate,"na. 无论如何；至少；总而言之
 不管怎样；反正；总之"
at hand,"na. 在手边；即将到来
 在附近；眼前；近在手边"
at intervals,"na. 时时；处处；偶尔
 不时；每隔一会儿；每隔一段时间"
at length,"na. 最后；充分地
 详细地；终于；终于，最终"
at present,"na. 目前
 现在；当今；眼下"
at random,"na. 碰运气地；无目标地
 随便地；随机地；随意地"
at risk,"un. 担风险
 有危险；在危险中；处于危险中"
at stake,"na. 被赌着；在危险中；利害攸关
 利害攸关；危如累卵；在危急关头"
at the expense of,"na. 以…为代价；由…出钱；牺牲…
 以…为牺牲；在损害…情况下；在损害……的情况下"
at the height of, 在……顶点；在的高峰；在…最鼎盛时期
at the mercy of,"na. 完全受…支配
 在…支配下；完全受...支配；任由…摆布"
at the start,"na. 开始
 开始时；当初；起初"
at the thought of,"na. 一想到
 一想起；一想到…就；当……想到"
average wage,"un. 平均工资
 社会平均工资；平均工资水平"
back down,"na. 打退堂鼓；放弃权利等
 让步；放弃原主张；取消前言"
bargain for, 为购买（某物）讨价还价; 料到，考虑到（某情况）; 预料
base sth. on sth.,
be addicted to,"na. 嗜好
 沉溺于；对……上瘾；沉迷于"
be at a standstill,"un. 停下来；停止转动
 裹足不前；停滞；处于停顿状态"
be aware of,"na. 知道
 意识到；觉察；了解"
be away from, 远离；离开；从……离开
be beyond dispute, 不容争议
be bid up,
be bound up with,"na. 与…有密切联系；与…结合在一起；和…有密切关系
 与...有密切联系；与…有密切关系；相关"
be characterized by,"na. 有…的(显著)特点
 以…为特征；的特点在于；典型代表了"
be conscious of,"na. 意识到
 察觉；知道；觉察"
be content with,"na. 以…为满足
 对…满意；满足于；对……满足"
be dependent on,"na. 依靠
 依赖；依赖于；取决于"
be dependent upon,依靠(他人供给吃、住、钱等)，依赖；随…而定；依…而转移
be entitled to, 有权；有资格；有权做
be equivalent to,"na. 等于；相当于
 等价于；等效；与…相当"
be essential to,"v. 对…必不可少
 对…不可缺少；必不可少的；非常重要的"
be exposed to, 暴露于；面临；暴露在
be immune to,"对...有免疫力, 可避免..., 不受...的影响"
be in debt,"亏空,亏空额"
be in despair, 某人处于绝望中；绝望地；陷于绝望之中
be in sympathy with,同意；随着；赞同；和...一致
be in the way, 碍事；挡路；绊手绊脚
be irrelevant to, 不切题；与…不相干；与…不相关
be keen on,"na. 喜爱
 渴望；喜欢；热衷于"
be known as,"na. 通称
 被称为；被称作；被认为是"
be liable for, 对…应负责任的；对…负责；有责任
be liable to,"该受(罚), 应遵守..., 有...的倾向, 易于..."
be married to sb.,
be on the ropes,（登山者）用绳相互系在一起
be out of date,过时的；已废的
be popular with,"na. 受…欢迎
 受…的欢迎；受…欢迎的；受到……的欢迎"
be proficient in,"v. 精通
 熟练…；熟练掌握；技术熟练"
be related to,"na. 和…有(亲戚)关系
 与……有关；与…有关系；与…相关"
be relevant to,"v. 有关
 与…有关；和……相关；与……相关"
be reluctant to, 不愿意；不情愿；不愿做…的
be resistant to, 抵抗的；抗拒；有抵抗力的
be responsible for,"v. 负责；担负
 对…负责；为…负责；对……负责任"
be skeptical of,
be skeptical about,
be suited for,适合…
be supposed to,"na. …(在职务上)要；不许
 应该；被认为；被期望"
be to blame,"na. 该负责
 该受责备；应该负责；应受责备"
be tolerant of,"na. 对…能容忍
 对…容忍；对……的容忍；对……宽容"
be typical of,"v. 代表；象征
 是…的特点；典型的；有代表性的"
be up in the air,"na. 悬而未决；尚未决定
 悬而未决的；不肯定；还没有确定"
be up to,"un. 面对；在干；居心
 胜任；该由…负责；应由"
be willing to,"na. 乐意进行
 愿意；乐于；情愿"
beat to the punch, 首先做出决定性的行动
bed down,"v. 使…安睡；下陷；卧睡
 铺床睡；安排过夜；准备住处"
begin with,"na. 从…开始
 以…开始；开始于；以…为起点"
benefit from,"v. 从…得到好处
 受益于；从……中受益；从…中获益"
between jobs, 失业；待业中；工作之间
bid for,"na. 投标求包(工程)；出价竞买(某物)；争取得到(拥护等)
 申办；许诺获支持；为……而竞标或争夺"
boast about,"na. 夸耀
 自夸；吹嘘；吹牛"
boot up,"un. 启动；自举；引导；使系统开始工作
 开机；开机后；起动"
brand new,"adj. 全新的；崭新的
 新约神话；全新品；焕然一新"
break away,"v. 逃脱；突然离开；突然离去；挣脱
 脱离；逃跑；摆脱"
break away from,"v. 脱离；离开；断绝与…的关系
 摆脱；从…脱离；脱离等"
break down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
 引进；带来；引入"
bring out,"na. 公布；说出；出版；上演
 生产；阐明；说明"
build up,"na. 同“build”；建立；复兴；集结(部队)
 逐步建立；增进；积累"
burn down,"na. 把…烧成平地；(蜡烛等)逐渐烧完；火力减弱
 烧毁；烧光；烧为平地"
by contrast,"un. 相比之下；作对比；与此相反
 对比之下；对比而言；相比而言"
by far,"na. (修饰比较级,最高级,表示数量,程度等)…得多；尤其；更
 到目前为止；非常；最多"
by hand,"na. 用手的；用手递交的；(婴儿)用牛奶抚养的
 用手工；手动；手工的"
by means of,"na. 以
 用；依靠；借助于"
by nature,"na. 生就；从本性上说
 生来；天生的；生性"
by oneself,"na. 单独；独自；独力
 自行；独自地；单独地"
call for,"na. 呼吁；主张；需要；接(某人)
 要求；提倡；号召"
call forth,"na. 唤起
 引起；振作起，鼓起；激发"
call on,"na. 号召；指名要(某人)去干(某事)；请求；访问
 拜访；呼吁；拜访某人"
call upon,"na. “call on”的变体；同“call on ”
 号召；拜访；求告"
